transacao_id,cliente_id,valor,data,produto
1,731,386.06,2025-10-02,Empréstimo
2,390,3564.15,2025-06-07,Investimento
3,325,1816.29,2025-04-04,Cartão
4,966,1555.17,2026-01-04,Seguro
5,105,679.88,2025-07-11,Investimento
6,460,2793.79,2026-06-09,Investimento
7,106,150.78,2025-12-29,Conta Digital
8,96,2992.68,2025-11-29,Investimento
9,13,1473.4,2026-02-02,Cartão
10,743,4507.66,2025-09-06,Conta Digital
11,534,864.52,2026-01-25,Empréstimo
12,143,1359.22,2025-10-02,Investimento
13,150,335.07,2026-03-22,Seguro
14,432,1512.77,2025-03-20,Seguro
15,258,4722.23,2026-05-23,Conta Digital
16,632,993.83,2025-04-20,Empréstimo
17,312,53.7,2026-02-10,Seguro
18,862,3108.56,2025-12-04,Investimento
19,343,2164.47,2025-05-20,Seguro
20,329,3023.99,2025-07-25,Investimento
21,322,904.63,2026-02-12,Seguro
22,299,3679.67,2026-05-18,Conta Digital
23,801,1227.27,2026-01-21,Seguro
24,837,3933.62,2026-01-09,Cartão
25,955,2827.98,2025-07-04,Conta Digital
26,28,4765.96,2026-04-18,Empréstimo
27,449,3992.47,2025-03-12,Investimento
28,690,2506.53,2025-11-07,Empréstimo
29,259,3300.14,2026-03-10,Investimento
30,76,2256.35,2026-05-06,Conta Digital
31,411,2681.15,2026-03-05,Conta Digital
32,38,3957.79,2026-01-04,Conta Digital
33,609,3198.14,2025-03-29,Cartão
34,788,1256.19,2025-12-30,Empréstimo
35,663,3071.14,2026-02-14,Seguro
36,989,3985.23,2025-04-19,Cartão
37,101,1308.52,2026-06-07,Conta Digital
38,572,2910.98,2025-08-15,Investimento
39,384,1967.85,2026-05-28,Empréstimo
40,354,4988.56,2026-05-10,Cartão
41,303,2091.56,2025-03-29,Cartão
42,852,4704.57,2025-05-26,Seguro
43,320,1728.47,2025-07-31,Conta Digital
44,495,1754.54,2025-04-10,Investimento
45,740,3489.88,2025-11-23,Cartão
46,308,242.52,2025-04-28,Cartão
47,870,1728.53,2025-04-22,Empréstimo
48,953,4919.82,2025-09-07,Conta Digital
49,179,2768.51,2025-12-05,Conta Digital
50,437,4793.14,2025-08-26,Investimento
51,645,938.57,2026-03-19,Investimento
52,30,3692.19,2025-07-22,Investimento
53,607,2159.17,2025-01-05,Empréstimo
54,211,1406.16,2025-03-06,Conta Digital
55,105,4001.52,2025-07-11,Seguro
56,334,1001.43,2025-04-27,Seguro
